Diagnosis Year,Cancer type,Gender,Stage,Age At Diagnosis,Years Since Diagnosis,Patients,Survival (%)
2015-2019,Bladder,Persons,All stages combined,75-99,4,5057,42.6
2015-2019,Bladder,Persons,All stages combined,All ages,4,8948,50.5
2015-2019,Bladder,Persons,All stages combined,All ages,4,8948,55.1
2015-2019,Bladder,Persons,All stages combined,55-64,5,921,60.4
2015-2019,Bladder,Persons,All stages combined,65-74,5,2568,57.3
2015-2019,Bladder,Persons,All stages combined,75-99,5,5057,39
2015-2019,Bladder,Persons,All stages combined,All ages,5,8948,47.4
2015-2019,Bladder,Persons,All stages combined,15-44,1,60,86.7
2015-2019,Bladder,Persons,All stages combined,45-54,1,264,80
2015-2019,Bladder,Persons,All stages combined,55-64,1,908,83.9
2015-2019,Bladder,Persons,All stages combined,65-74,1,2664,80.6
2015-2019,Bladder,Persons,All stages combined,75-99,1,5432,64.7
2015-2019,Bladder,Persons,All stages combined,All ages,1,9328,71.7
2015-2019,Bladder,Persons,All stages combined,All ages,1,9328,76.6
2015-2019,Bladder,Persons,All stages combined,15-44,2,60,81
2015-2019,Bladder,Persons,All stages combined,45-54,2,264,71.5
2015-2019,Bladder,Persons,All stages combined,55-64,2,908,74
2015-2019,Bladder,Persons,All stages combined,65-74,2,2664,70.3
2015-2019,Bladder,Persons,All stages combined,75-99,2,5432,53
2015-2019,Bladder,Persons,All stages combined,All ages,2,9328,60.7
2015-2019,Bladder,Persons,All stages combined,All ages,2,9328,66.3
2015-2019,Bladder,Persons,All stages combined,55-64,3,908,70.6
2015-2019,Bladder,Persons,All stages combined,65-74,3,2664,64.8
2015-2019,Bladder,Persons,All stages combined,75-99,3,5432,47.8
2015-2019,Bladder,Persons,All stages combined,All ages,3,9328,55.6
2015-2019,Bladder,Persons,All stages combined,All ages,3,9328,61.2
2015-2019,Bladder,Persons,All stages combined,55-64,4,908,67
2015-2019,Bladder,Persons,All stages combined,65-74,4,2664,62.3
2015-2019,Bladder,Persons,All stages combined,75-99,4,5432,44.6
2015-2019,Bladder,Persons,All stages combined,All ages,4,9328,52.6
2015-2019,Bladder,Persons,All stages combined,All ages,4,9328,58.3
2015-2019,Bladder,Persons,All stages combined,55-64,5,908,64.1
2015-2019,Bladder,Persons,All stages combined,65-74,5,2664,58.9
2015-2019,Bladder,Persons,All stages combined,75-99,5,5432,43
2015-2019,Bladder,Persons,All stages combined,All ages,5,9328,50.4
2015-2019,Bladder,Persons,All stages combined,15-44,1,54,83.4
2015-2019,Bladder,Persons,All stages combined,45-54,1,243,86.8
2015-2019,Bladder,Persons,All stages combined,55-64,1,810,85.1
2015-2019,Bladder,Persons,All stages combined,65-74,1,2442,81.4
2015-2019,Bladder,Persons,All stages combined,75-99,1,5432,65.7
2015-2019,Bladder,Persons,All stages combined,All ages,1,8981,72.4
2015-2019,Bladder,Persons,All stages combined,All ages,1,8981,78
2015-2019,Bladder,Persons,All stages combined,15-44,2,54,65.6
2015-2019,Bladder,Persons,All stages combined,45-54,2,243,75.5
2015-2019,Bladder,Persons,All stages combined,55-64,2,810,76.8
2015-2019,Bladder,Persons,All stages combined,65-74,2,2442,73.5
2015-2019,Bladder,Persons,All stages combined,All ages,2,8981,61.4
2015-2019,Bladder,Persons,All stages combined,All ages,2,8981,67.2
2015-2019,Bladder,Persons,All stages combined,15-44,3,54,61.1
2015-2019,Bladder,Persons,All stages combined,45-54,3,243,70.4
2015-2019,Bladder,Persons,All stages combined,55-64,3,810,72.2
2015-2019,Bladder,Persons,All stages combined,65-74,3,2442,66.8
2015-2019,Bladder,Persons,All stages combined,75-99,3,5432,46.3
2015-2019,Bladder,Persons,All stages combined,All ages,3,8981,55
2015-2019,Bladder,Persons,All stages combined,All ages,3,8981,61.1
2015-2019,Bladder,Persons,All stages combined,55-64,4,810,70
2015-2019,Bladder,Persons,All stages combined,65-74,4,2442,63.7
2015-2019,Bladder,Persons,All stages combined,75-99,4,5432,43.2
2015-2019,Bladder,Persons,All stages combined,All ages,4,8981,51.9
2015-2019,Bladder,Persons,All stages combined,All ages,4,8981,58.1
2015-2019,Bladder,Persons,All stages combined,55-64,5,810,66.5
2015-2019,Bladder,Persons,All stages combined,65-74,5,2442,62.2
2015-2019,Bladder,Persons,All stages combined,75-99,5,5432,41.4
2015-2019,Bladder,Persons,All stages combined,All ages,5,8981,50
2015-2019,Bladder,Persons,All stages combined,All ages,5,8981,55.9
2015-2019,Bladder,Persons,1,15-44,1,127,97.8
2015-2019,Bladder,Persons,1,45-54,1,588,97.4
2015-2019,Bladder,Persons,1,55-64,1,1984,97.7
2015-2019,Bladder,Persons,1,65-74,1,5309,95.9
2015-2019,Bladder,Persons,1,75-99,1,8846,91.2
2015-2019,Bladder,Persons,1,All ages,1,16854,93.7
2015-2019,Bladder,Persons,1,All ages,1,16854,95.2
2015-2019,Bladder,Persons,1,15-44,2,127,94.6
2015-2019,Bladder,Persons,1,45-54,2,588,93.4
2015-2019,Bladder,Persons,1,55-64,2,1984,94.3
2015-2019,Bladder,Persons,1,65-74,2,5309,91.3
2015-2019,Bladder,Persons,1,75-99,2,8846,83.7
2015-2019,Bladder,Persons,1,All ages,2,16854,87.8
2015-2019,Bladder,Persons,1,All ages,2,16854,90.2
2015-2019,Bladder,Persons,1,55-64,3,1984,91.9
2015-2019,Bladder,Persons,1,65-74,3,5309,86.8
2015-2019,Bladder,Persons,1,75-99,3,8846,77.7
2015-2019,Bladder,Persons,1,All ages,3,16854,82.9
2015-2019,Bladder,Persons,1,All ages,3,16854,86.1
2015-2019,Bladder,Persons,1,55-64,4,1984,90.3
2015-2019,Bladder,Persons,1,65-74,4,5309,83.9
2015-2019,Bladder,Persons,1,75-99,4,8846,72.9
2015-2019,Bladder,Persons,1,All ages,4,16854,79.1
2015-2019,Bladder,Persons,1,All ages,4,16854,82.9
2015-2019,Bladder,Persons,1,55-64,5,1984,87.8
2015-2019,Bladder,Persons,1,65-74,5,5309,81.2
2015-2019,Bladder,Persons,1,75-99,5,8846,69.6
2015-2019,Bladder,Persons,1,All ages,5,16854,76.1
2015-2019,Bladder,Persons,1,All ages,5,16854,80.2
2015-2019,Bladder,Persons,2,15-44,1,69,75.4
2015-2019,Bladder,Persons,2,45-54,1,358,85.5
2015-2019,Bladder,Persons,2,55-64,1,1094,83
2015-2019,Bladder,Persons,2,65-74,1,2802,77.7
2015-2019,Bladder,Persons,2,75-99,1,5751,63
2015-2019,Bladder,Persons,2,All ages,1,10074,70.1
2015-2019,Bladder,Persons,2,All ages,1,10074,74.9
2015-2019,Bladder,Persons,2,15-44,2,69,64.3
2015-2019,Bladder,Persons,2,45-54,2,358,69.7
2015-2019,Bladder,Persons,2,55-64,2,1094,67.2
2015-2019,Bladder,Persons,2,65-74,2,2802,63.5
2015-2019,Bladder,Persons,2,75-99,2,5751,45.4
2015-2019,Bladder,Persons,2,All ages,2,10074,53.8
2015-2019,Bladder,Persons,2,All ages,2,10074,59.1
2015-2019,Bladder,Persons,2,15-44,3,69,64.4
2015-2019,Bladder,Persons,2,45-54,3,358,62.7
2015-2019,Bladder,Persons,2,55-64,3,1094,60.3
2015-2019,Bladder,Persons,2,65-74,3,2802,56.3
2015-2019,Bladder,Persons,2,75-99,3,5751,37.8
2015-2019,Bladder,Persons,2,All ages,3,10074,46.4
2015-2019,Bladder,Persons,2,All ages,3,10074,52.1
2015-2019,Bladder,Persons,2,15-44,4,69,55.8
2015-2019,Bladder,Persons,2,45-54,4,358,59.4
2015-2019,Bladder,Persons,2,55-64,4,1094,58.2
2015-2019,Bladder,Persons,2,65-74,4,2802,53.3
2015-2019,Bladder,Persons,2,75-99,4,5751,34
2015-2019,Bladder,Persons,2,All ages,4,10074,43.1
2015-2019,Bladder,Persons,2,All ages,4,10074,48.5
2015-2019,Bladder,Persons,2,55-64,5,1094,55.1
2015-2019,Bladder,Persons,2,65-74,5,2802,50.4
2015-2019,Bladder,Persons,2,75-99,5,5751,31.5
2015-2019,Bladder,Persons,2,All ages,5,10074,40.4
2015-2019,Bladder,Persons,2,All ages,5,10074,46
2015-2019,Bladder,Persons,3,15-44,1,48,68.2
2015-2019,Bladder,Persons,3,45-54,1,187,72.4
2015-2019,Bladder,Persons,3,55-64,1,478,73
2015-2019,Bladder,Persons,3,65-74,1,1096,69.7
2015-2019,Bladder,Persons,3,75-99,1,1626,51.9
2015-2019,Bladder,Persons,3,All ages,1,3435,61.9
2015-2019,Bladder,Persons,3,All ages,1,3435,64.9
2015-2019,Bladder,Persons,3,15-44,2,48,54.6
2015-2019,Bladder,Persons,3,45-54,2,187,56.3
2015-2019,Bladder,Persons,3,55-64,2,478,58
2015-2019,Bladder,Persons,3,65-74,2,1096,54
2015-2019,Bladder,Persons,3,75-99,2,1626,35.8
2015-2019,Bladder,Persons,3,All ages,2,3435,46.1
2015-2019,Bladder,Persons,3,All ages,2,3435,49
2015-2019,Bladder,Persons,3,55-64,3,478,51.6
2015-2019,Bladder,Persons,3,65-74,3,1096,47.9
2015-2019,Bladder,Persons,3,75-99,3,1626,29.9
2015-2019,Bladder,Persons,3,All ages,3,3435,40.3
2015-2019,Bladder,Persons,3,All ages,3,3435,43.4
2015-2019,Bladder,Persons,3,55-64,4,478,49.6
2015-2019,Bladder,Persons,3,65-74,4,1096,44.8
2015-2019,Bladder,Persons,3,75-99,4,1626,26.5
2015-2019,Bladder,Persons,3,All ages,4,3435,37.1
2015-2019,Bladder,Persons,3,All ages,4,3435,40.2
2015-2019,Bladder,Persons,3,55-64,5,478,44.7
2015-2019,Bladder,Persons,3,65-74,5,1096,39.3
2015-2019,Bladder,Persons,3,75-99,5,1626,23
2015-2019,Bladder,Persons,3,All ages,5,3435,33.1
2015-2019,Bladder,Persons,4,15-44,1,76,38.2
2015-2019,Bladder,Persons,4,45-54,1,272,35.5
2015-2019,Bladder,Persons,4,55-64,1,663,35.7
2015-2019,Bladder,Persons,4,65-74,1,1658,35.8
2015-2019,Bladder,Persons,4,75-99,1,2789,23.6
2015-2019,Bladder,Persons,4,All ages,1,5458,29.5
2015-2019,Bladder,Persons,4,All ages,1,5458,31.8
2015-2019,Bladder,Persons,4,55-64,2,663,23
2015-2019,Bladder,Persons,4,65-74,2,1658,20.3
2015-2019,Bladder,Persons,4,75-99,2,2789,12.7
2015-2019,Bladder,Persons,4,All ages,2,5458,16.8
2015-2019,Bladder,Persons,4,All ages,2,5458,18.4
2015-2019,Bladder,Persons,4,55-64,3,663,18.9
2015-2019,Bladder,Persons,4,65-74,3,1658,15
2015-2019,Bladder,Persons,4,75-99,3,2789,9.4
2015-2019,Bladder,Persons,4,All ages,3,5458,12.7
2015-2019,Bladder,Persons,4,All ages,3,5458,14
2015-2019,Bladder,Persons,4,55-64,4,663,16.3
2015-2019,Bladder,Persons,4,65-74,4,1658,13.5
2015-2019,Bladder,Persons,4,75-99,4,2789,8.1
2015-2019,Bladder,Persons,4,All ages,4,5458,11.1
2015-2019,Bladder,Persons,4,All ages,4,5458,12.2
2015-2019,Bladder,Persons,4,55-64,5,663,15.1
2015-2019,Bladder,Persons,4,65-74,5,1658,12.6
2015-2019,Bladder,Persons,4,75-99,5,2789,7.2
2015-2019,Bladder,Persons,4,All ages,5,5458,10.2
2015-2019,Bladder,Persons,All stages combined,15-44,1,376,75.7
2015-2019,Bladder,Persons,All stages combined,45-54,1,1587,78.5
2015-2019,Bladder,Persons,All stages combined,55-64,1,4702,80.4
2015-2019,Bladder,Persons,All stages combined,65-74,1,12299,77.6
2015-2019,Bladder,Persons,All stages combined,75-99,1,23979,63.3
2015-2019,Bladder,Persons,All stages combined,All ages,1,42943,69.9
2015-2019,Bladder,Persons,All stages combined,All ages,1,42943,73.7
2015-2019,Bladder,Persons,All stages combined,15-44,2,376,65
2015-2019,Bladder,Persons,All stages combined,45-54,2,1587,68.1
2015-2019,Bladder,Persons,All stages combined,55-64,2,4702,70.9
2015-2019,Bladder,Persons,All stages combined,65-74,2,12299,67.7
2015-2019,Bladder,Persons,All stages combined,75-99,2,23979,51.5
2015-2019,Bladder,Persons,All stages combined,All ages,2,42943,59
2015-2019,Bladder,Persons,All stages combined,All ages,2,42943,63.1
2015-2019,Bladder,Persons,All stages combined,15-44,3,376,61.8
2015-2019,Bladder,Persons,All stages combined,45-54,3,1587,64.1
2015-2019,Bladder,Persons,All stages combined,55-64,3,4702,66.7
2015-2019,Bladder,Persons,All stages combined,65-74,3,12299,62
2015-2019,Bladder,Persons,All stages combined,75-99,3,23979,45.6
2015-2019,Bladder,Persons,All stages combined,All ages,3,42943,53.4
2015-2019,Bladder,Persons,All stages combined,All ages,3,42943,57.9
2015-2019,Bladder,Persons,All stages combined,15-44,4,376,60.1
2015-2019,Bladder,Persons,All stages combined,45-54,4,1587,60.5
2015-2019,Bladder,Persons,All stages combined,55-64,4,4702,64.3
2015-2019,Bladder,Persons,All stages combined,65-74,4,12299,59.2
2015-2019,Bladder,Persons,All stages combined,75-99,4,23979,41.9
2015-2019,Bladder,Persons,All stages combined,All ages,4,42943,50.1
2015-2019,Bladder,Persons,All stages combined,All ages,4,42943,54.8
2015-2019,Bladder,Persons,All stages combined,55-64,5,4702,61.7
2015-2019,Bladder,Persons,All stages combined,65-74,5,12299,56.6
2015-2019,Bladder,Persons,All stages combined,75-99,5,23979,39.3
2015-2019,Bladder,Persons,All stages combined,All ages,5,42943,47.6
2015-2019,Bladder,Persons,All stages combined,All ages,5,42943,52.4
2015-2019,Bladder,Female,All stages combined,15-44,1,37,40.6
2015-2019,Bladder,Female,All stages combined,45-54,1,109,62.3
2015-2019,Bladder,Female,All stages combined,55-64,1,298,70
2015-2019,Bladder,Female,All stages combined,65-74,1,586,61.8
2015-2019,Bladder,Female,All stages combined,75-99,1,1229,50.9
2015-2019,Bladder,Female,All stages combined,All ages,1,2259,56.6
2015-2019,Bladder,Female,All stages combined,All ages,1,2259,58.4
2015-2019,Bladder,Female,All stages combined,55-64,2,298,56.9
2015-2019,Bladder,Female,All stages combined,65-74,2,586,51.1
2015-2019,Bladder,Female,All stages combined,75-99,2,1229,37
2015-2019,Bladder,Female,All stages combined,All ages,2,2259,43.8
2015-2019,Bladder,Female,All stages combined,All ages,2,2259,46.6
2015-2019,Bladder,Female,All stages combined,55-64,3,298,52.8
2015-2019,Bladder,Female,All stages combined,65-74,3,586,46.9
2015-2019,Bladder,Female,All stages combined,75-99,3,1229,32.6
2015-2019,Bladder,Female,All stages combined,All ages,3,2259,39.5
2015-2019,Bladder,Female,All stages combined,All ages,3,2259,42.3
2015-2019,Bladder,Female,All stages combined,55-64,4,298,50.1
2015-2019,Bladder,Female,All stages combined,65-74,4,586,43.8
2015-2019,Bladder,Female,All stages combined,75-99,4,1229,27.3
2015-2019,Bladder,Female,All stages combined,All ages,4,2259,35.2
2015-2019,Bladder,Female,All stages combined,All ages,4,2259,38.1
2015-2019,Bladder,Female,All stages combined,55-64,5,298,47.3
2015-2019,Bladder,Female,All stages combined,65-74,5,586,41.6
2015-2019,Bladder,Female,All stages combined,75-99,5,1229,25.5
2015-2019,Bladder,Female,All stages combined,All ages,5,2259,33.2
2015-2019,Bladder,Female,All stages combined,15-44,1,40,71.9
2015-2019,Bladder,Female,All stages combined,45-54,1,105,59.2
2015-2019,Bladder,Female,All stages combined,55-64,1,257,70.3
2015-2019,Bladder,Female,All stages combined,65-74,1,569,66.9
2015-2019,Bladder,Female,All stages combined,75-99,1,1275,47.2
2015-2019,Bladder,Female,All stages combined,All ages,1,2246,55.8
2015-2019,Bladder,Female,All stages combined,All ages,1,2246,60.6
2015-2019,Bladder,Female,All stages combined,15-44,2,40,58
2015-2019,Bladder,Female,All stages combined,45-54,2,105,52.2
2015-2019,Bladder,Female,All stages combined,55-64,2,257,60.4
2015-2019,Bladder,Female,All stages combined,65-74,2,569,56.6
2015-2019,Bladder,Female,All stages combined,75-99,2,1275,37.1
2015-2019,Bladder,Female,All stages combined,All ages,2,2246,45.8
2015-2019,Bladder,Female,All stages combined,All ages,2,2246,50.4
2015-2019,Bladder,Female,All stages combined,55-64,3,257,57.6
2015-2019,Bladder,Female,All stages combined,65-74,3,569,52.3
2015-2019,Bladder,Female,All stages combined,75-99,3,1275,32.1
2015-2019,Bladder,Female,All stages combined,All ages,3,2246,41.5
2015-2019,Bladder,Female,All stages combined,All ages,3,2246,46.5
2015-2019,Bladder,Female,All stages combined,55-64,4,257,55.9
2015-2019,Bladder,Female,All stages combined,65-74,4,569,50.1
2015-2019,Bladder,Female,All stages combined,75-99,4,1275,30.2
2015-2019,Bladder,Female,All stages combined,All ages,4,2246,39.5
2015-2019,Bladder,Female,All stages combined,All ages,4,2246,44.6
2015-2019,Bladder,Female,All stages combined,55-64,5,257,53.8
2015-2019,Bladder,Female,All stages combined,65-74,5,569,49.2
2015-2019,Bladder,Female,All stages combined,75-99,5,1275,27.1
2015-2019,Bladder,Female,All stages combined,All ages,5,2246,37.1
2015-2019,Bladder,Female,All stages combined,15-44,1,23,65.3
2015-2019,Bladder,Female,All stages combined,45-54,1,97,70.2
2015-2019,Bladder,Female,All stages combined,55-64,1,246,68.1
2015-2019,Bladder,Female,All stages combined,65-74,1,598,71.2
2015-2019,Bladder,Female,All stages combined,75-99,1,1487,52.7
2015-2019,Bladder,Female,All stages combined,All ages,1,2451,59.6
2015-2019,Bladder,Female,All stages combined,All ages,1,2451,64.1
2015-2019,Bladder,Female,All stages combined,15-44,2,23,61
2015-2019,Bladder,Female,All stages combined,45-54,2,97,53.7
2015-2019,Bladder,Female,All stages combined,55-64,2,246,57.1
2015-2019,Bladder,Female,All stages combined,65-74,2,598,61.4
2015-2019,Bladder,Female,All stages combined,75-99,2,1487,42.3
2015-2019,Bladder,Female,All stages combined,All ages,2,2451,49.1
2015-2019,Bladder,Female,All stages combined,All ages,2,2451,53.3
2015-2019,Bladder,Female,All stages combined,55-64,3,246,51.5
2015-2019,Bladder,Female,All stages combined,65-74,3,598,57.7
2015-2019,Bladder,Female,All stages combined,75-99,3,1487,37.2
2015-2019,Bladder,Female,All stages combined,All ages,3,2451,44.2
2015-2019,Bladder,Female,All stages combined,All ages,3,2451,48.1
2015-2019,Bladder,Female,All stages combined,55-64,4,246,49.2
2015-2019,Bladder,Female,All stages combined,65-74,4,598,53.7
2015-2019,Bladder,Female,All stages combined,75-99,4,1487,35.2
2015-2019,Bladder,Female,All stages combined,All ages,4,2451,41.8
2015-2019,Bladder,Female,All stages combined,65-74,5,598,53
2015-2019,Bladder,Female,All stages combined,75-99,5,1487,33
2015-2019,Bladder,Female,All stages combined,All ages,5,2451,40.3
2015-2019,Bladder,Female,All stages combined,15-44,1,19,68.5
2015-2019,Bladder,Female,All stages combined,45-54,1,85,71.6
2015-2019,Bladder,Female,All stages combined,55-64,1,211,73.6
2015-2019,Bladder,Female,All stages combined,65-74,1,564,73.9
2015-2019,Bladder,Female,All stages combined,75-99,1,1478,52.6
2015-2019,Bladder,Female,All stages combined,All ages,1,2357,60.4
2015-2019,Bladder,Female,All stages combined,All ages,1,2357,66.3
2015-2019,Bladder,Female,All stages combined,55-64,2,211,65.9
2015-2019,Bladder,Female,All stages combined,65-74,2,564,62
2015-2019,Bladder,Female,All stages combined,75-99,2,1478,42
2015-2019,Bladder,Female,All stages combined,All ages,2,2357,49.8
2015-2019,Bladder,Female,All stages combined,All ages,2,2357,56.2
2015-2019,Bladder,Female,All stages combined,55-64,3,211,62.4
2015-2019,Bladder,Female,All stages combined,65-74,3,564,55.8
2015-2019,Bladder,Female,All stages combined,75-99,3,1478,37.9
2015-2019,Bladder,Female,All stages combined,All ages,3,2357,45.4
2015-2019,Bladder,Female,All stages combined,All ages,3,2357,52.1
2015-2019,Bladder,Female,All stages combined,55-64,4,211,60.4
2015-2019,Bladder,Female,All stages combined,65-74,4,564,54.4
2015-2019,Bladder,Female,All stages combined,75-99,4,1478,35.4
2015-2019,Bladder,Female,All stages combined,All ages,4,2357,43.2
2015-2019,Bladder,Female,All stages combined,55-64,5,211,57.7
2015-2019,Bladder,Female,All stages combined,65-74,5,564,54.3
2015-2019,Bladder,Female,All stages combined,75-99,5,1478,33.9
2015-2019,Bladder,Female,All stages combined,All ages,5,2357,42
2015-2019,Bladder,Female,All stages combined,15-44,1,16,81.3
2015-2019,Bladder,Female,All stages combined,45-54,1,59,83
2015-2019,Bladder,Female,All stages combined,55-64,1,197,81.5
2015-2019,Bladder,Female,All stages combined,65-74,1,562,74.9
2015-2019,Bladder,Female,All stages combined,75-99,1,1443,56.9
2015-2019,Bladder,Female,All stages combined,All ages,1,2277,64.3
2015-2019,Bladder,Female,All stages combined,All ages,1,2277,71.8
2015-2019,Bladder,Female,All stages combined,55-64,2,197,71.8
2015-2019,Bladder,Female,All stages combined,65-74,2,562,65.2
2015-2019,Bladder,Female,All stages combined,75-99,2,1443,44.3
2015-2019,Bladder,Female,All stages combined,All ages,2,2277,52.5
2015-2019,Bladder,Female,All stages combined,All ages,2,2277,59.2
2015-2019,Bladder,Female,All stages combined,55-64,3,197,69.4
2015-2019,Bladder,Female,All stages combined,65-74,3,562,57.7
2015-2019,Bladder,Female,All stages combined,75-99,3,1443,38.3
2015-2019,Bladder,Female,All stages combined,All ages,3,2277,46.6
2015-2019,Bladder,Female,All stages combined,All ages,3,2277,53.7
2015-2019,Bladder,Female,All stages combined,55-64,4,197,68.8
2015-2019,Bladder,Female,All stages combined,65-74,4,562,54.4
2015-2019,Bladder,Female,All stages combined,75-99,4,1443,36
2015-2019,Bladder,Female,All stages combined,All ages,4,2277,44.1
2015-2019,Bladder,Female,All stages combined,All ages,4,2277,50.8
2015-2019,Bladder,Female,All stages combined,55-64,5,197,66.1
2015-2019,Bladder,Female,All stages combined,65-74,5,562,51.5
2015-2019,Bladder,Female,All stages combined,75-99,5,1443,34.3
2015-2019,Bladder,Female,All stages combined,All ages,5,2277,42.1
2015-2019,Bladder,Female,1,15-44,1,23,95.7
2015-2019,Bladder,Female,1,45-54,1,110,97.4
2015-2019,Bladder,Female,1,55-64,1,388,95.5
